,Unnamed: 0,Question,Answer
120,126,kudos to you for providing such a great virtual assistant ,I am sorry for the troubles. We'd be happy to help. DM the delivery address and your phone number.
121,127,. the access point my package was delivered to is suddenly closed until further notice. What do I do?,"Please DM us your tracking number, and complete address so we can look into this."
122,128,You better have my ww2 at my doorstep when I get home friday or else ,"If you have any tracking questions or concerns, use the link to provide the details."
123,129,Hej! Jag skulle vilja gra en budfrfrgan p en 10rig kille frn Fritids &gt; Hem. Cirka 7km avstnd.,Are you looking for a shipping rate? You can utilize this link to calculate the time and the cost.
124,130,"they even came to my apartment, called me then still proceeded to leave w/o delivering the package that day. Pathetic. Why even call?!","Please use the link provided to send the details, so we can help you get this matter addressed."
125,131,"just wondering if theres a way to have all my packages delivered to my front door &amp; NOT the office. Im disabled, thx!","Please DM us a tracking number, your complete address and your phone number so we can look into this."
126,132,"So I ordered a custom bag from a month ago. apparently sent it back, stated could not deliver, nobody notified me. Pissed.",I'm sorry this happened! Please use this link to DM us for assistance.
127,133,What is happening at UPS? Waiting 4 days for a delivery and all I am told is delayed plane. It's coming from Toronto! Worst customer service. Does anyone know what they are doing? Shame on you,"I'm sorry you have not received your package. I'd be happy to look deeper into the status of your package and see what information I can find. Will you please DM your tracking number, delivery address, and phone number?"
128,134,when did UPS start charging a pick up fee from their stores?? I just had two associates refuse to waive a fee I was unaware of and left WITHOUT my package that I already paid $30+for shipping. #disappointed,"That does not sound right at all. Can you please DM us the tracking number, your phone number, complete address and the address of the location that was trying to charge you. We would like to look into this further."
129,135,Is there not a way to cancel a delivery change request that I accidentally made through My Choice?,I am sorry this in not working for you. Please DM me the tracking number so I can look into this.
130,136,"its been saying this for 4 days, wheres my phone ",Please use this link to DM us with your tracking number and we'll research it for you.
131,137,"I need my package delivered, I will use it for an event this afternoon at 2pm. Medford area 02155",Use the link to DM us the tracking number and your phone number.
132,138,"Since &amp; the 800 number are useless, feel free to dm me any UPS direct line phone numbers.","Sorry for the frustration caused on this matter. Our local team is working with the Manager, and will contact you shortly."
133,139,"Just realized it was eastern time, well PERSON THREE PEOPLE WERE HOME. Why didn't you ring the doorbell?!",If you would like us to look into this please DM us.
134,140,Thx but pls just fix the website so tracking info is not just a picture of Taylor swift's emo phase.,I'm sorry the tracking information isn't showing properly. We will provide your feedback to the appropriate team.
135,141,. please fix your tracking system. It is 100% ads 0% info about my package.,Can my team track this shipment for you? Please use the link to DM us the tracking number as well as your phone number.
136,142,exp 10.27 arrived in PR 10.25 returned 10.28 no new tracking info by even after inquiring to about it within the time frame,"Please DM us your tracking number, and complete address so we can look into this."
137,143,Yo wheres my cats Squirtle costume Im on my porch waiting,Sorry for the wait! Our local team will continue working as quickly as possible to deliver in the area.
138,144,GONNA HAVE TO RUN DOWN ON THE UPS MAN TODAY I SEE,If you need assistance please DM us.
139,145,"""Second delivery attempt made"" while I've been in my apartment all day is a joke. I even called yesterday and they guaranteed delivery",Please use the link to send the details so we can help you get this matter addressed.
140,146,You should regulate that. It defeats the purpose of having an account,It is regulated as far as the basic shipping cost. They can charge their own rates for the additional services they offer.
141,147,where is my package?,Can you please DM us your tracking number?
142,148,My war with UPS continues. I wasn't home so they dropped off my package in some opium den 2 miles away. After 1 attempt.,I'm sorry for the inconvenience. Can you please DM me your tracking number?
143,149,"Oh and what a surprise still no parcel really making yourselves look good here, nicely done cunts",Please DM us your tracking or infonotice number so we can look into this.
144,150,What the hell this mean,Please use this link to DM us with your tracking number and we can look into this for you.
145,151,having a problem with an international shipment for tickets. Somehow it sasy I reject the package it never came.,"Please DM us your tracking number, phone number and complete address so we can look into this."
146,152,hi there i says my package is deliverd but i recived nothing. 80__credit_card__,2/2 to make the final delivery to you. I recommend you contact the shipper and inform them of the situation.
147,153,I dont understand wat post office?,We do not have that information available. Please contact the shipper.
148,154,Girllll theyre RIDIC! Im like has anybody class action lawsuit them? Theyre full of shit and expect the shipper to do something like ,"If you need help, please DM your tracking # so we can look into that for you."
149,155,"UPS left food delivery at street in sun (including raw meat), outside expected delivery time. Answer? ""It was left in manner expected."" Am I suppose to sit home 5hrs waiting for food delivery left in the sun at the street?Raising livestock myself might be less time-consuming.",I'm sorry for the confusion. The suggestion to get notifications from My Choice was intended to help you get alerted when the package is delivered. It wasn't referring to the other services.
150,156,"I shipped UPS EARLY, item didnt arrive at promised time. 6 hr late. Filed claim. Waited @ wk. nothing. Contacted  ","Let us review this with you. DM us the tracking number, name, and complete address on the package."
151,157,Why? You already blew me off! See your incident number: tel:171029-003218,Shipping fees are billed directly to the shipper. We must refund the account on file. You must contact the shipper.
152,158,I shipped . You are the shipper. WTF?,We are the carrier. The shipper is the account holder that created the label.
153,159,"be like looks like the $30 you paid for shipping is useless, please pay more next time so we can help you better #fixthis #upssux",2/2 working as quickly as possible to deliver in the area.
154,160,your courier stole my wife's phone when delivering so why should she have to wait for 8 days without a phone or compensation?,An investigation can take up to 8 business days to be completed. We then provide the updates to the shipper.
155,161,But my wife has no phone &amp; no money to buy another due to no fault of her own. Something needs to be done to rectify that. F'ing Useless,We would be able to review this in more detail to find out what happened. Please reach out in a DM with the tracking #.
156,162,In September lost a tent I ordered. I had to cancel &amp; re-order last week. They lost it AGAIN.,I am truly sorry this happened again. Please DM the tracking number and we can research.
157,163,"Can you help with this, please? Thank you!",We're happy to help always. Please DM a tracking # if you got one.
158,164,On the phone w/ a supervisor who admitted that you guys made a mistake yet will not correct it. Terrible customer service!,Please DM us the tracking details for your package so we can get this looked into.
159,165,is just so outdated and behind the times   puts them to shame   as they should but they ha e their issues,I do apologize that you feel this way. If you need assistance please DM us.
160,166,you guys are pitiful. Never will use your service again.,"Please DM us your tracking number, and complete address so we can look into this."
161,167,On the phone with trying to find a package the driver claims he left at my doorsteps. This is not the first time I have my packages go missing. This time it's my son's holiday picture pajamas. I paid $25 to have this item delivered in a timely manner.,"I am sorry to hear you did not receive your package. If you are no longer on the phone with customer service and you need further assistance, please DM your tracking number, delivery address, and phone number."
162,168,Bought someone thing off paid $10.99 expedited shipping only to have the driver not try to get through the gate at my community.,Please use the link to send the details for your package to us for further assistance.
163,169,Why is there always an issue with packages?,"I am sorry to hear this. Please DM the tracking number, so we can look into this for you."
164,170,"Ok so, Mistakes happen, but after hours of multiple phone calls they wont even guarantee that they will cover international shipping to ship these supplies to Puerto Rico where Im supposed to be taking them. Oh and yes, it was GUARANTEED to be here by today. #neverUPS","if you would like further assistance please DM us your tracking number. I do want to let you know with the state Puerto Rico is in right now, we are trying to deliver as fast as possible but we have to get out every single package."
165,171,"so tired of having ur drivers mark packages delivered, and actual delivery not until 2 days later. Why am I paying Xtra for this??",I'm sorry to hear that. Please DM your tracking # so we can address that situation for you.
166,172,Keeps happening. packages to #PuertoRico after #Maria get opened. Shameful. Illegal,I'm sorry for the condition in which you received your packages. Are any contents missing or damaged?
167,173,Yes. On the one received last week w the incorrect tracking info an ac plug was missing from it. All UPS packages have had damage,"Please DM us your tracking #s, merchandise description, phone # and the value of the contents so we can look into this further."
168,174,is it company policy for your drivers to totally disregard the speed limit in residential areas?,Definitely not. Please use this link to DM us with the location details to get this addressed.
169,175,I'm convinced my UPS man used to run track. How you knock &amp; be gone from my front door before I can answer it??,If you need assistance please DM us the tracking number. Thank you!
170,176,"Dear , my tracking says its ready for pickup, although doesnt show an estimated delivery date. Can you tell me what it is?","We'd be happy to take a look for you, Please DM us with the tracking number. WS"
171,177,severe weather? Why dont you say your backed up and cant deliver today? Dont treat us like were stupid.,I'm sorry to hear that. Please DM your tracking # so we can look into that for you.
172,178,Never had an issue with till today. Customer service was no help. Never heard of a policy they blabbered about. Disappointed.,"If there's something that we can do to assist, click the link to DM your track #,ph#, and details. .K."
173,179,please clean your trucks; I don't like getting DIRTY packages!! very poor guys. ,I am sorry to hear that your package was dirty. Please DM the tracking number so I can look into this.
174,180,"Shipped vital items to Puerto Rico, guaranteed delivery, paid $150 for overnight 6 days ago. Package has not been delivered Shame on U",I am sorry for the troubles. Please DM us the tracking number so we can take a look.
175,181,THIS IS A BIG PROBLEM. HE'S CURRENTLY CALLING TO COMPLAIN. I'm expecting swift action be taken.,I'm sorry this happened. Can you please DM me the package's tracking number?
176,182,where is my package heauxs,"If you need assistance with this please DM us your tracking number, and complete address."
177,183,"hello I ordered Taylor Swift merch like 3 weeks ago and it hasnt arrived yet, I dont know how to see exactly where it is now.",Use this link to DM us the tracking number as well as your phone number so we can help out.
178,184,how yall niggas never show up to my door and say this  ya boys straight ?,Please send us your tracking # via DM with a description of your concern. Thank you.
179,185,"Welp, didnt want me to have a new computer after all.","- I apologize that your shipment arrived in this condition. If there any any damage to your computer please DM us with the tracking number, your full address, and phone number for a damage claim to be processed. -"
180,186,"1/ The computer itself was physically damaged, but Im not sure what a damage claim will accomplish?",- Im sorry to hear your computer was damaged as well. By opening a damage claim we would work with the shipper. You could contact the shipper directly if you would like and the can help open damage claim with us if needed. -
181,187,"Sorry, but I still dont follow. Did you see the second tweet in my reply to you? How does a damage claim help me?",We don't receive messages the same as in normal twitter the agent may not have seen the second part to your message as it may have been assigned to a different person. I am sorry your replacement is going to take a week. Please continue to work with Apple.
182,188,who delivers a package at 9 in the morning?,Residential deliveries are typically from 09:00 AM until 07:00 PM.
183,189,Nah that UPS driver needs to get fired. Im really pissed now. My job sent me something and its dead not here,I would like to resolve this issue. Can you please DM me your tracking numbers?
184,190,Why can't you ever deliver on time? I always sign when I see my Amazon order is coming through you.,Please DM your tracking # so we can look into this for you. Here's a link for you to attach it.
185,191,"I have to pay for redelivery because can't deliver to my house that is ""on a hill"". I wonder if wants my $2K instead",I'm sorry for the inconvenience. Can you DM us your tracking number?
